idx;Variable_AR6;Unit;r21m42;r21m42_unit;r21m42_factor;r21m42_spatial;m42;m42_unit;m42_factor;r30m44;r30m44_unit;r30m44_factor;r30m44_spatial;m44;m44_unit;m44_factor;internal_comment;Comment;Definition
35;Carbon Sequestration|Direct Air Capture;Mt CO2/yr;Emi|CO2|CDR|DACCS;Mt CO2/yr;-1;;;;;Emi|CO2|CDR|DACCS;Mt CO2/yr;-1;;;;;;;total carbon dioxide sequestered through direct air capture
36;Carbon Sequestration|Enhanced Weathering;Mt CO2/yr;Emi|CO2|CDR|EW;Mt CO2/yr;-1;;;;;Emi|CO2|CDR|EW;Mt CO2/yr;-1;;;;;;;total carbon dioxide sequestered through enhanced weathering
37;Carbon Sequestration|Feedstocks;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide sequestered in feedstocks (e.g.,lubricants,asphalt,plastics)
38;Carbon Sequestration|Feedstocks|Biomass;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide sequestered in feedstocks from biomass (e.g.,lubricants,asphalt,plastics)
39;Carbon Sequestration|Feedstocks|Fossil;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide sequestered in feedstocks from fossil (e.g.,lubricants,asphalt,plastics)
40;Carbon Sequestration|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;;total carbon dioxide sequestered through land-based sinks (e.g.,afforestation,soil carbon enhancement,biochar)
;Carbon Sequestration|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;;total carbon dioxide sequestered through land-based sinks (e.g.,afforestation,soil carbon enhancement,biochar)
41;Carbon Sequestration|Land Use|Afforestation;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;;total carbon dioxide sequestered through afforestation
;Carbon Sequestration|Land Use|Afforestation;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;;total carbon dioxide sequestered through afforestation
42;Carbon Sequestration|Land Use|Biochar;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide sequestered through biochar
43;Carbon Sequestration|Land Use|Other;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide sequestered through other land-based mitigation techniques
44;Carbon Sequestration|Land Use|Soil Carbon Management;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide sequestered through soil carbon management techniques
45;Carbon Sequestration|Other;Mt CO2/yr;;Mt CO2/yr;;;;Mt CO2/yr;;;Mt CO2/yr;;;;Mt CO2/yr;;;;total carbon dioxide sequestered through other techniques (please provide a definition of other sources in this category in the 'comments' tab)
46;Carbon Utilization|CCS|Biomass|Industry;Mt CO2/yr;;;;;;;;;;;;;;;;;total of CO2 captured and utilized within industry,from biomass-based sources (e.g. biogas)
47;Carbon Utilization|CCS|Fossil|Industry;Mt CO2/yr;;;;;;;;;;;;;;;;;total of CO2 captured and utilized within industry,from fossil-based sources (e.g. natural gas,coal-gas)
48;Carbon Utilization|CCS|Industry;Mt CO2/yr;Carbon Sequestration|CCU;Mt CO2/yr;;;;;;Carbon Management|Usage;Mt CO2/yr;;;;;;;;total of CO2 captured and utilized within industry,from both fossil and biomass based sources
79;Capital Cost|Liquids|Oil;US$2010/kW;Tech|Liquids|Oil|Capital Costs;US$2005/kW;1.10774;;;;;Tech|Liquids|Fossil|Oil|Capital Costs;US$2005/kW;1.10774;;;;;;;capital cost of a new oil refining plant. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
78;Capital Cost|Liquids|Gas|w/o CCS;US$2010/kW;;;;;;;;;;;;;;;;;capital cost of a new gas to liquids plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
77;Capital Cost|Liquids|Gas|w/ CCS;US$2010/kW;;;;;;;;;;;;;;;;;capital cost of a new gas to liquids plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
76;Capital Cost|Liquids|Coal|w/o CCS;US$2010/kW;Tech|Liquids|Coal|w/o CCS|Capital Costs;US$2005/kW;1.10774;;;;;Tech|Liquids|Fossil|Coal|w/o CC|Capital Costs;US$2005/kW;1.10774;;;;;;;capital cost of a new coal to liquids plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
75;Capital Cost|Liquids|Coal|w/ CCS;US$2010/kW;Tech|Liquids|Coal|w/ CCS|Capital Costs;US$2005/kW;1.10774;;;;;Tech|Liquids|Fossil|Coal|w/ CC|Capital Costs;US$2005/kW;1.10774;;;;;;;capital cost of a new coal to liquids plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
74;Capital Cost|Liquids|Biomass|w/o CCS;US$2010/kW;Tech|Liquids|Biomass|Biofuel|Biodiesel|w/o CCS|Capital Costs;US$2005/kW;1.10774;;;;;Tech|Liquids|Biomass|Biodiesel|w/o CC|Capital Costs;US$2005/kW;1.10774;;;;;;Biodiesel will be replaced by Fisher-Tropsch Type fuels.;capital cost of a new biomass to liquids plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
73;Capital Cost|Liquids|Biomass|w/ CCS;US$2010/kW;Tech|Liquids|Biomass|Biofuel|BioFTRC|w/ CCS|Capital Costs;US$2005/kW;1.10774;;;;;Tech|Liquids|Biomass|BioFTR|w/ CC|Capital Costs;US$2005/kW;1.10774;;;;;;;capital cost of a new biomass to liquids plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
72;Capital Cost|Hydrogen|Gas|w/o CCS;US$2010/kW;Tech|Hydrogen|Gas|w/o CCS|Capital Costs;US$2005/kW;1.10774;;;;;Tech|Hydrogen|Gas|w/o CC|Capital Costs;US$2005/kW;1.10774;;;;;;;capital cost of a new gas to hydrogen plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
