variable;unit;piam_variable;piam_unit;piam_factor;Definition;Comment;internal_comment;source
Final Energy|Liquids|Fossil;EJ/yr;FE|Liquids|+|Fossil;EJ/yr;1;;;;R
Final Energy|Non-Energy Use;EJ/yr;FE|Non-energy Use|Industry;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Gases;EJ/yr;FE|Non-energy Use|Industry|+|Gases;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Gases|Biomass;EJ/yr;FE|Non-energy Use|Industry|Gases|+|Biomass;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Gases|Electricity;EJ/yr;FE|Non-energy Use|Industry|Gases|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Gases|Fossil;EJ/yr;FE|Non-energy Use|Industry|Gases|+|Fossil;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Hydrogen;EJ/yr;;;;;;;
Final Energy|Non-Energy Use|Liquids;EJ/yr;FE|Non-energy Use|Industry|+|Liquids;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Liquids|Biomass;EJ/yr;FE|Non-energy Use|Industry|Liquids|+|Biomass;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Liquids|Electricity;EJ/yr;FE|Non-energy Use|Industry|Liquids|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Liquids|Fossil;EJ/yr;FE|Non-energy Use|Industry|Liquids|+|Fossil;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Other;EJ/yr;;;;;;;
Final Energy|Non-Energy Use|Solids;EJ/yr;FE|Non-energy Use|Industry|+|Solids;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Solids|Biomass;EJ/yr;FE|Non-energy Use|Industry|Solids|+|Biomass;EJ/yr;1;;;;R
Final Energy|Non-Energy Use|Solids|Fossil;EJ/yr;FE|Non-energy Use|Industry|Solids|+|Fossil;EJ/yr;1;;;;R
