variable;unit;piam_variable;piam_unit;piam_factor;description;source
Emissions|N2O;kt N2O/yr;Emi|N2O|Agriculture|+|Waste Burning;kt N2O/yr;-1;Emissions of nitrous oxide (N2O) to the atmosphere;R
Emissions|N2O;kt N2O/yr;Emissions|N2O|Land|Biomass Burning|+|Burning of Crop Residues;Mt N2O/yr;1000;Emissions of nitrous oxide (N2O) to the atmosphere;M
Emissions|N2O;kt N2O/yr;Emissions|N2O|AFOLU|Land|Fires;Mt N2O/yr;1000;Emissions of nitrous oxide (N2O) to the atmosphere;M
Emissions|N2O;kt N2O/yr;Emi|N2O|+|Land-Use Change;kt N2O/yr;-1;Emissions of nitrous oxide (N2O) to the atmosphere;R
Emissions|N2O;kt N2O/yr;Emi|N2O|Land-Use Change|+|Peatland;kt N2O/yr;;Emissions of nitrous oxide (N2O) to the atmosphere;R
Emissions|N2O;kt N2O/yr;Emi|N2O|Extra|Transport|Pass|Aviation;kt N2O/yr;;Emissions of nitrous oxide (N2O) to the atmosphere;R
Emissions|N2O;kt N2O/yr;Emi|N2O|Extra|Transport|Bunkers|Freight;kt N2O/yr;;Emissions of nitrous oxide (N2O) to the atmosphere;R
Emissions|N2O;kt N2O/yr;Emi|N2O|Extra|Buildings;kt N2O/yr;;Emissions of nitrous oxide (N2O) to the atmosphere;R
Emissions|N2O|AFOLU;kt N2O/yr;Emi|N2O|+|Agriculture;kt N2O/yr;;Emissions of nitrous oxide (N2O) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;R
Emissions|N2O|AFOLU;kt N2O/yr;Emi|N2O|Agriculture|+|Waste Burning;kt N2O/yr;-1;Emissions of nitrous oxide (N2O) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;R
Emissions|N2O|AFOLU;kt N2O/yr;Emissions|N2O|Land|Biomass Burning|+|Burning of Crop Residues;Mt N2O/yr;1000;Emissions of nitrous oxide (N2O) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;M
